"Depth","Cl","Ca","Fe","Cu","Br","Sr","S","K"
28.9,0.685178731405334,2.74063358010608,-0.237626681490015,-2.1325703869533,-0.595235768420544,2.38637862358766,-0.71418771128191,-2.1325703869533
29,0.602625867046361,2.41179923989666,-0.151467323730664,-1.77743453811598,-0.17916992628,2.41432236991478,-1.00424464988249,-2.31643103884866
29.1,0.532781716411806,2.29176431274597,-0.302928528803009,-1.48562393468166,-0.0192868658882335,2.37676644654408,-1.2659953254749,-2.12747782085406
29.2,0.719129412953795,2.00573655913246,-0.349807107568199,-1.20101122292247,0.222262141438511,2.21514224989334,-1.52117875051874,-2.0902732824087
29.3,0.718391177650995,1.66464329726563,-0.292058323422443,-1.29421034590299,0.287253714488703,2.42188167173583,-1.61698373816604,-1.88891745364968
29.4,0.779124841148643,1.47025792233689,-0.203718511234784,-1.0856597630943,0.44265260452743,2.31899483895171,-1.81854727230376,-1.90310466033182
29.5,0.982863173201628,1.3146607795856,-0.141860259470168,-1.64593765624644,0.786003457961646,2.34700679153393,-2.08777040852548,-1.55496587804072
29.6,0.96663393890912,1.68795199643576,-0.0809231789587055,-1.40154843657074,0.767020885005104,2.20339656605805,-2.30103205012851,-1.84149972075007
29.7,0.994603154945236,1.47888141198356,0.207741964113788,-0.85977973748429,0.892078514991579,2.01055126952843,-2.8056898865396,-1.9183866915387
29.8,0.960500426373784,1.71061443154041,-0.0226303236262215,-1.27539329212159,0.715569520874667,1.74660392139073,-2.07032316699148,-1.7649415174403
29.9,0.947978774531946,1.48342791432584,0.285517404675445,-1.22960982828741,0.626688162078212,2.26765502212097,-2.72126470506513,-1.66039274437987
30,0.7762344207559,1.90208944581788,-0.00339878873851372,-1.62552186069993,0.382263692073471,2.75809924680711,-2.00993355961026,-2.17983259640566
30.1,0.712947655192959,2.23241414900895,-0.0930685462209406,-1.1449937209164,0.135940124545667,2.77457965595138,-2.60782815915862,-2.009991158403
30.2,0.808622308276066,2.1543507896165,0.0989458257649105,-1.67301101616696,0.078743118447391,2.60474383458429,-1.99391873624707,-2.07847612427513
30.3,0.797151690191414,2.34025101272344,-0.158669880439376,-1.84345723011526,-0.0773872470025196,2.29066530356376,-1.70180671305224,-1.64674693586921
30.4,0.838122438168341,2.57151612848373,-0.483633401813979,-1.24302996791512,-0.403590694140442,1.98620299505302,-1.58224569048209,-1.68334180735346
30.5,0.960814163494852,2.57921181730042,-0.0890079610038253,-2.17801895369981,0.0813374047434136,1.89035012211903,-1.06666763925427,-2.17801895369981
30.6,0.698797569747286,2.37805663578338,-0.219378176822641,-1.62472073291323,-0.339522488664704,1.79237523481673,-0.980844601360063,-1.70476344058676
30.7,0.902022277597553,2.38970586459815,-0.157302293997521,-1.78704547259237,-0.103499588004545,1.94265597604182,-1.03176651092542,-2.15477025271768
30.8,0.908277854218731,2.4309840708285,-0.106747718341113,-2.13112948283792,-0.125795913311807,2.06499777369412,-0.909457101412585,-2.13112948283792
30.9,0.661258320858726,2.25368902064559,-0.239139144648345,-1.41987098493483,-0.247472526207489,1.7354028170813,-0.911751722766582,-1.83211578002837
31,0.81132817683281,2.09179895213147,0.0275266280047341,-1.77893898861302,-0.0249198473678085,1.76040873152996,-0.990481628248746,-1.8967220242694
31.1,0.764376243772304,2.12044745988645,-0.354282976841097,-1.42979955071456,0.00658875572424871,2.06753788631822,-1.44359287284689,-1.73127494529867
31.2,0.971224063343996,1.75237588099651,-0.183444931405776,-1.45255703790267,0.220216749703238,2.46100324684436,-1.76621459675771,-2.00260337482195
31.4,1.05500198634862,1.6700522555404,-0.181204312552299,-1.27981660122041,0.470881381209872,1.99862852207205,-2.34452733821284,-1.3890158931854
31.5,1.06013921974048,1.66753248968209,-0.343607591330633,-0.788575142415044,0.257393412767644,2.07142551760482,-2.20839219557358,-1.71591571047578
31.6,0.993998007139293,1.33451642326617,-0.307513390169394,-1.11080414982776,0.544157017630419,1.81984150720634,-1.27412920593106,-2.000066209314
31.7,0.852117016375687,1.91808088636418,-0.264844410960619,-1.11399583999715,0.166216244336509,2.27632004147748,-1.93144073723467,-1.90245320036142
31.8,0.800382254639044,1.98852798972949,-0.216916678154073,-1.88519509061111,0.332030153431782,2.24681497449747,-1.59751301815933,-1.66813058537328
31.9,1.02864374815482,2.02359302624085,0.0110616822295615,-2.01404550848694,0.276934038386793,2.50271372015709,-2.05326622164023,-1.77563448504195
32,0.817444500125703,2.13706372143558,-0.194627332211351,-1.36297295889414,-0.0866794929885733,2.2056203293453,-1.69611740542267,-1.81973136138985
32.1,0.99240754218448,1.84586256296841,-0.0424889320975216,-1.37221294172902,0.208825496183384,2.27166914645418,-1.95203143698196,-1.95203143698196
